year,title,genres,boxOffice,rank,category,winner
2015,The Theory of Everything,"Biography,Drama,Romance",38047149,88,Best Picture,false
2015,Whiplash,"Drama,Music",13877520,131,Best Picture,false
2015,Birdman,"Comedy,Drama",44881033,81,Best Directing,true
2015,Foxcatcher,"Biography,Drama,Sport",12822078,133,Best Directing,false
2015,Imitation Game,"Biography,Drama,Thriller",96593223,37,Best Directing,false
2015,Boyhood,"Drama",26902773,106,Best Directing,false
2015,The Grand Budapest Hotel,"Adventure,Comedy,Drama",62646337,58,Best Directing,false
2015,Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama",44881033,81,Best Original Screenplay,true
2015,Boyhood,"Drama",26902773,106,Best Original Screenplay,false
2015,Foxcatcher,"Biography,Drama,Sport",12822078,133,Best Original Screenplay,false
2015,Nightcrawler,"Crime,Drama,Thriller",34324091,94,Best Original Screenplay,false
2015,The Grand Budapest Hotel,"Adventure,Comedy,Drama",62646337,58,Best Original Screenplay,false
2015,The Imitation Game,"Biography,Drama,Thriller",96593223,37,Best Adapted Screenplay,true
2015,American Sniper,"Action,Biography,Drama",371133954,1,Best Adapted Screenplay,false
2015,Inherent Vice,"Comedy,Crime,Drama",8597633,140,Best Adapted Screenplay,false
2015,The Theory of Everything,"Biography,Drama,Romance",38047149,88,Best Adapted Screenplay,false
2015,Whiplash,"Drama,Music",13877520,131,Best Adapted Screenplay,false
2015,Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama",44881033,81,Best Cinematography,true
2015,Ida,"Drama",4056683,154,Best Cinematography,false
2015,Unbroken,"Biography,Drama,Sport",122576168,27,Best Cinematography,false
2015,Mr. Turner,"Biography,Drama,History",4196058,152,Best Cinematography,false
2015,The Grand Budapest Hotel,"Adventure,Comedy,Drama",62646337,58,Best Cinematography,false
2015,Interstellar,"Adventure,Drama,Sci-Fi",199301218,16,Best Visual Effects,true
2015,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",275352566,4,Best Visual Effects,false
2015,Dawn of the Planet of the Apes,"Action,Adventure,Drama",221058324,11,Best Visual Effects,false
2015,Guardians of the Galaxy,"Action,Adventure,Comedy",353167196,3,Best Visual Effects,false
2015,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",247956826,9,Best Visual Effects,false
2014,12 Years a Slave,"Biography,Drama,History",60072312,62,Best Picture,true
2014,American Hustle,"Crime,Drama",159124875,17,Best Picture,false
2014,Captain Phillips,"Biography,Drama,Thriller",113526906,32,Best Picture,false
2014,Dallas Buyers Club,"Biography,Drama",28936182,93,Best Picture,false
2014,Gravity,"Drama,Sci-Fi,Thriller",290538267,6,Best Picture,false
2014,Her,"Drama,Romance,Sci-Fi",27102346,98,Best Picture,false
2014,The Wolf of Wall Street,"Biography,Comedy,Crime",123914735,28,Best Picture,false
2014,Nebraska,"Adventure,Comedy,Drama",18714206,111,Best Picture,false
2014,Philomena,"Biography,Drama",39970182,79,Best Picture,false
2014,Gravity,"Drama,Sci-Fi,Thriller",290538267,6,Best Directing,true
2014,Nebraska,"Adventure,Comedy,Drama",18714206,111,Best Directing,false
2014,American Bluff,"Crime,Drama",159124875,17,Best Directing,false
2014,Le loup de Wall Street,"Biography,Comedy,Crime",123914735,28,Best Directing,false
2014,12 Years a Slave,"Biography,Drama,History",60072312,62,Best Directing,false
2014,Her,"Drama,Romance,Sci-Fi",27102346,98,Best Original Screenplay,true
2014,American Hustle,"Crime,Drama",159124875,17,Best Original Screenplay,false
2014,Blue Jasmine,"Drama",35409809,85,Best Original Screenplay,false
2014,Dallas Buyers Club,"Biography,Drama",28936182,93,Best Original Screenplay,false
2014,Nebraska,"Adventure,Comedy,Drama",18714206,111,Best Original Screenplay,false
2014,12 Years a Slave,"Biography,Drama,History",60072312,62,Best Adapted Screenplay,true
2014,Before Midnight,"Drama,Romance",8601504,135,Best Adapted Screenplay,false
2014,Captain Phillips,"Biography,Drama,Thriller",113526906,32,Best Adapted Screenplay,false
2014,The Wolf of Wall Street,"Biography,Comedy,Crime",123914735,28,Best Adapted Screenplay,false
2014,Philomena,"Biography,Drama",39970182,79,Best Adapted Screenplay,false
2014,Gravity,"Drama,Sci-Fi,Thriller",290538267,6,Best Cinematography,true
2014,Inside Llewyn Davis,"Drama,Music",14029438,122,Best Cinematography,false
2014,Nebraska,"Adventure,Comedy,Drama",18714206,111,Best Cinematography,false
2014,Prisoners,"Crime,Drama,Mystery",64662440,58,Best Cinematography,false
2014,Yi dai zong shi,"Action,Biography,Drama",6990656,143,Best Cinematography,false
2014,Gravity,"Drama,Sci-Fi,Thriller",290538267,6,Best Visual Effects,true
2014,Iron Man 3,"Action,Adventure,Sci-Fi",433554833,2,Best Visual Effects,false
2014,The Hobbit: The Desolation of Smaug,"Adventure,Fantasy",273868866,8,Best Visual Effects,false
2014,The Lone Ranger,"Action,Adventure,Western",94660241,40,Best Visual Effects,false
2014,Star Trek: Into Darkness,"Action,Adventure,Sci-Fi",242505380,11,Best Visual Effects,false
2013,Argo,"Biography,Drama,Thriller",146907543,22,Best Picture,true
2013,Amour,"Drama,Romance",7278651,130,Best Picture,false
2013,Django Unchained,"Drama,Western",175829868,15,Best Picture,false
2013,Silver Linings Playbook,"Comedy,Drama,Romance",142660394,23,Best Picture,false
2013,Life of Pi,"Adventure,Drama,Fantasy",134985984,27,Best Picture,false
2013,Les Misérables,"Drama,History,Musical",160714551,18,Best Picture,false
2013,Beasts of the Southern Wild,"Adventure,Drama,Fantasy",13819405,119,Best Picture,false
2013,Lincoln,"Biography,Drama,History",196784610,13,Best Picture,false
2013,Zero Dark Thirty,"Drama,Thriller",103378373,32,Best Picture,false
2013,L'odyssée de Pi,"Adventure,Drama,Fantasy",134985984,27,Best Directing,true
2013,Les bêtes du Sud sauvage,"Adventure,Drama,Fantasy",13819405,119,Best Directing,false
2013,Happiness Therapy,"Comedy,Drama,Romance",142660394,23,Best Directing,false
2013,Amour,"Drama,Romance",7278651,130,Best Directing,false
2013,Lincoln,"Biography,Drama,History",196784610,13,Best Directing,false
